"CROSSTAB TITLE : asian_female"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 03/30/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",,"MEAT ALTERNATIVES - HH USES?_DON'T KNOW/NO ANSWER",
"Total","Sample",25910,,6612,,18958,,340,
"Total","Weighted(000)",247612,,68565,,176127,,2920,
"Total","Vertical %",100%,,100%,,100%,,100%,
"Total","Horizontal %",100%,,27.7%,,71.1%,,1.2%,
"Total","Index",100,,100,,100,,100,
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (HOUSEHOLD INCOME_LESS THAN $25,000)  AND  (AGE_18 - 24) ) ","Sample",5,**,1,**,4,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (HOUSEHOLD INCOME_LESS THAN $25,000)  AND  (AGE_18 - 24) ) ","Weighted(000)",29,**,1,**,28,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (HOUSEHOLD INCOME_LESS THAN $25,000)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (HOUSEHOLD INCOME_LESS THAN $25,000)  AND  (AGE_18 - 24) ) ","Horizontal %",100%,**,3.4%,**,96.6%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (HOUSEHOLD INCOME_LESS THAN $25,000)  AND  (AGE_18 - 24) ) ","Index",100,**,12,**,136,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_25 - 34) ) ","Sample",14,**,5,**,9,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_25 - 34) ) ","Weighted(000)",294,**,63,**,230,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_25 - 34) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,21.4%,**,78.2%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_25 - 34) ) ","Index",100,**,77,**,110,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_35 - 44) ) ","Sample",21,**,11,**,10,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_35 - 44) ) ","Weighted(000)",215,**,96,**,119,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_35 - 44) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,44.7%,**,55.3%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_35 - 44) ) ","Index",100,**,161,**,78,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_45 - 54) ) ","Sample",26,**,8,**,18,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_45 - 54) ) ","Weighted(000)",141,**,56,**,85,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_45 - 54) ) ","Vertical %",0.1%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,39.7%,**,60.3%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_45 - 54) ) ","Index",100,**,143,**,85,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_55 - 64) ) ","Sample",27,**,11,**,16,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_55 - 64) ) ","Weighted(000)",165,**,89,**,76,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_55 - 64) ) ","Vertical %",0.1%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,53.9%,**,46.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_55 - 64) ) ","Index",100,**,195,**,65,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_65+) ) ","Sample",14,**,2,**,11,**,1,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_65+) ) ","Weighted(000)",49,**,13,**,35,**,0,**
