FIPS,NAME,NAME_,MEDHHINC,FOODCPI,FOODHOME,URBANPROP,POVPROP,LAPOPHALF,LAPOP1,MEATALTPCT,Geo Point,STUSAB,LAT,LONG
10001,Kent,"Kent, Delaware",75796,247.8,302903.0,0.7309804137323944,0.12635343309859154,81.5140625,53.4483870967742,0.23305588585017836,"39.0959545402, -75.5046137018",DE,39.0959545402,-75.5046137018
10003,New Castle,"New Castle, Delaware",88265,232.7,980407.6,0.9537685771159897,0.11209412167609643,70.50902439024391,42.00770833333333,0.26659786721706225,"39.5783299005, -75.6389781252",DE,39.5783299005,-75.6389781252
10005,Sussex,"Sussex, Delaware",72430,247.8,458087.8,0.585034876883965,0.1466859557619827,81.96867924528303,66.14269230769231,0.22771403353927624,"38.6832973547, -75.3395417153",DE,38.6832973547,-75.3395417153
11001,District of Columbia,"District Of Columbia, District Of Columbia",89680,245.0,1331475.4,1.0,0.15815402222980812,46.138195488721806,25.50722222222222,0.3404452690166976,"38.9047737146, -77.0163026702",DC,38.9047737146,-77.0163026702
12001,Alachua,"Alachua, Florida",58457,247.8,481486.7,0.7865586300882859,0.21692243882206552,77.38589285714285,50.63044444444444,0.24972807277761297,"29.6747549911, -82.3577015483",FL,29.6747549911,-82.3577015483
12003,Baker,"Baker, Florida",65789,247.8,44732.2,0.40133858802745126,0.17758374668750423,95.7,87.89750000000001,0.225177304964539,"30.331070985, -82.2845872684",FL,30.331070985,-82.2845872684
12005,Bay,"Bay, Florida",66158,247.8,325753.5,0.878577728585511,0.1602015345681361,80.96906976744187,48.49790697674418,0.21908099068248785,"30.237646533, -85.6326228076",FL,30.237646533,-85.6326228076
12007,Bradford,"Bradford, Florida",53310,247.8,47276.3,0.24695463455614675,0.23389806776813218,91.1225,77.9475,0.22662116040955632,"29.9499595746, -82.1687777662",FL,29.9499595746,-82.1687777662
12009,Brevard,"Brevard, Florida",68128,247.8,1221751.2,0.9486189774865159,0.1561100732437802,79.76812500000001,49.69242990654206,0.24595824831266677,"28.300314142, -80.7012054832",FL,28.300314142,-80.7012054832
12011,Broward,"Broward, Florida",71011,260.6,3441482.8,0.9998317351582994,0.1468292306205188,55.527948717948725,21.12533783783784,0.304371921182266,"26.1518560378, -80.4558842537",FL,26.1518560378,-80.4558842537
12013,Calhoun,"Calhoun, Florida",45637,247.8,22054.7,0.32015360546152755,0.19278907694495803,90.82666666666667,82.77333333333333,0.24645390070921985,"30.4060343343, -85.1972071433",FL,30.4060343343,-85.1972071433
12015,Charlotte,"Charlotte, Florida",62451,247.8,417630.9,0.9119719047020893,0.1250523384834401,84.48342105263157,58.34432432432432,0.22835544144915135,"26.8998432654, -81.9503159678",FL,26.8998432654,-81.9503159678
