"Title:","Crops - Field Crops from the Agricultural Surveys Database"
"SubTitle:","Domain Category: TOTAL"
"Time:","2017 - 2022"
"Unit of Measure:","CWT","BU","BU","$","CWT","$","BU","$","BU","$","CWT","$","BU","$","BU","$","CWT","$","BU","$","BU","$","CWT","$","BU","$","BU","$","CWT","$","BU","$","BU"
"Citation:","National Agricultural Statistics Service, United States Department of Agriculture  (2023-02-15). Agricultural Surveys: Crops - Field Crops | RICE | SOYBEANS | WHEAT | RICE - PRODUCTION, MEASURED IN CWT | SOYBEANS - PRODUCTION, MEASURED IN BU | WHEAT - PRODUCTION, MEASURED IN BU | RICE - PRODUCTION, MEASURED IN $ | SOYBEANS - PRODUCTION, MEASURED IN $ | WHEAT - PRODUCTION, MEASURED IN $ | TOTAL, 2017 - 2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-009-007 doi:https://doi.org/10.6068/DP186B7D4819137"
"ColumnCount:",36
"RowCount:",42

"State","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2022 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2022 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2022 (BU)","RICE, RICE - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2021 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2021 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2021 (BU)","RICE, RICE - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2020 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2020 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2020 (BU)","RICE, RICE - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2019 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2019 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2019 (BU)","RICE, RICE - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2018 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2018 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2018 (BU)","RICE, RICE - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","RICE, RICE - PRODUCTION, MEASURED IN CWT, TOTAL, 2017 (CWT)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","SOYBEANS, SOYBEANS - PRODUCTION, MEASURED IN BU, TOTAL, 2017 (BU)","WHEAT, WHEAT - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","WHEAT, WHEAT - PRODUCTION, MEASURED IN BU, TOTAL, 2017 (BU)"
"Arkansas",80340000,163800000,7950000,1257677000,91136000,1949577000,156000000,55086000,8410000,1351338000,108107000,1514100000,144200000,22440000,4125000,1002658000,84257000,1134384000,127890000,13312000,2600000,1148378000,106947000,1428145000,162105000,25498000,5225000,917348000,82644000,1743945000,178500000,28990000,6500000
"Oklahoma",,6545000,68600000,,,146430000,12305000,736320000,115050000,,,163620000,16200000,473200000,104000000,,,107822000,12760000,474100000,110000000,,,132552000,16800000,357000000,70000000,,,168896000,18560000,392428000,98600000
"Pennsylvania",,25370000,15330000,,,381574000,31535000,103604000,15015000,,,327474000,28980000,79186000,13490000,,,254065000,29890000,57232000,10220000,,,236055000,28035000,49953000,9425000,,,271234000,29040000,56268000,10800000
"South Carolina",,14430000,5700000,,,191653000,14630000,33655000,5300000,,,123900000,10325000,24952000,4845000,,,75348000,8190000,11124000,2160000,,,87087000,9570000,16497000,3510000,,,141086000,14820000,15435000,3675000
"South Dakota",,192660000,71560000,,,2781240000,215600000,349267000,43800000,,,2331096000,226320000,353302000,70285000,,,1201764000,146200000,295269000,65410000,,,2001267000,251100000,378573000,72294000,,,2156596000,241230000,233427000,41678000
"Tennessee",,77760000,24455000,,,965200000,76000000,152295000,23430000,,,874800000,81000000,75314000,13570000,,,576934000,64390000,78507000,14405000,,,664869000,75985000,97071000,18525000,,,805100000,83000000,88550000,19250000
"Virginia",,25010000,10200000,,,336536000,27140000,54672000,8040000,,,279888000,23520000,42120000,7800000,,,167552000,19040000,32876000,6510000,,,205674000,24780000,43710000,9300000,,,244024000,25960000,44022000,9570000
"Wisconsin",,116100000,18720000,,,1434510000,113850000,112088000,18375000,,,1076192000,103480000,42263000,8625000,,,668801000,79430000,43584000,9600000,,,888394000,104640000,64610000,14200000,,,949411000,101650000,47974000,11560000
"Arizona",,,9576000,,,,,36738000,5310000,,,,,36819000,4851000,,,,,24060000,3640000,,,,,55038000,7898000,,,,,70822000,10589000
"Colorado",,,35750000,,,,,466052000,69560000,,,,,189605000,41040000,,,,,392980000,98000000,,,,,324789000,70504000,,,,,339873000,87598000
"Idaho",,,93515000,,,,,529150000,76534000,,,,,576185000,112506000,,,,,497252000,98755000,,,,,539010000,104410000,,,,,426305000,90723000
"Montana",,,139300000,,,,,832314000,100610000,,,,,1205924000,228680000,,,,,1023209000,217725000,,,,,1041736000,197630000,,,,,695891000,127430000
"New Mexico",,,1445000,,,,,18900000,2880000,,,,,16615000,3220000,,,,,14454000,3300000,,,,,7481000,1575000,,,,,17010000,4050000
"Oregon",,,48960000,,,,,295043000,31725000,,,,,273760000,46400000,,,,,284437000,49640000,,,,,298465000,51590000,,,,,245537000,48069000
"Utah",,,3168000,,,,,32007000,4278000,,,,,28203000,5194000,,,,,31007000,6264000,,,,,30998000,5356000,,,,,32448000,6240000
"Washington",,,144020000,,,,,739602000,87180000,,,,,948593000,166245000,,,,,792509000,143205000,,,,,844592000,153210000,,,,,690902000,142500000
"Wyoming",,,1615000,,,,,20368000,3040000,,,,,11021000,2340000,,,,,18636000,4730000,,,,,18573000,3910000,,,,,11466000,2940000
"Florida",,,,,,,,,,,,,,,,,,,,,,,,3596000,444000,1584000,360000,,,4213000,476000,1480000,370000
"Ohio",,281940000,36735000,,,3611932000,278160000,277971000,43775000,,,3057780000,270600000,183343000,34790000,,,1891439000,209230000,112543000,21560000,,,2442933000,281120000,171450000,33750000,,,2423807000,251955000,166796000,34040000
"North Dakota",,198450000,299900000,,,2323968000,181560000,1793513000,196195000,,,1976760000,193800000,1627388000,312587000,,,1348893000,170100000,1429651000,321185000,,,1910412000,239400000,1848508000,363483000,,,2159838000,243225000,1362415000,237133000
"North Carolina",,65065000,24000000,,,879040000,65600000,139104000,19320000,,,668192000,59660000,103740000,21000000,,,463372000,53200000,66780000,12600000,,,448675000,51810000,101232000,21090000,,,642200000,67600000,96938000,20625000
"New York",,14625000,7200000,,,205216000,16960000,66413000,9625000,,,179806000,15912000,45698000,7920000,,,91800000,10800000,22869000,4158000,,,137760000,16900000,34807000,6555000,,,110426000,11925000,40870000,8375000
"California",22251000,,8960000,905329000,36653000,,,67570000,9580000,1021668000,44810000,,,48910000,7854000,923492000,42362000,,,43464000,7244000,924953000,43425000,,,76413000,11985000,756723000,37277000,,,67730000,12404000
"Louisiana",27649000,56870000,,401103000,28447000,694512000,55120000,,,406186000,32237000,540600000,54060000,,,311614000,26408000,359136000,41280000,,,348253000,31094000,548501000,61285000,3315000,650000,310085000,26503000,652725000,67500000,2512000,598000
"Mississippi",6191000,123660000,3900000,101790000,7540000,1495044000,117180000,24987000,4130000,153013000,12241000,1134648000,111240000,5203000,960000,98794000,8302000,717200000,81500000,5073000,987000,110344000,10217000,1046601000,118260000,7174000,1470000,97014000,8436000,1120197000,115010000,6235000,1450000
"Missouri",11832000,275730000,24600000,212146000,15599000,3682105000,276850000,205433000,31850000,187816000,15522000,3289041000,296310000,128005000,22940000,154239000,12747000,2016525000,230460000,127027000,24570000,182863000,17090000,2201718000,257210000,148491000,30680000,142800000,11900000,2773327000,292545000,164138000,36720000
"Texas",12105000,1700000,39000000,182589000,12421000,44460000,3800000,481000000,74000000,194140000,14597000,34034000,3740000,314880000,61500000,141158000,11028000,15739000,2044000,317016000,71400000,188250000,15060000,32280000,4253000,289520000,56000000,136469000,11468000,60921000,6845000,265104000,68150000
"Alabama",,14555000,8640000,,,175375000,14030000,62997000,9130000,,,131918000,11275000,26460000,5040000,,,85176000,9360000,30906000,6120000,,,113900000,13400000,39204000,7920000,,,149654000,15870000,35420000,7700000
"Delaware",,6794000,4104000,,,94416000,7803000,15925000,2450000,,,84123000,7252000,23287000,4015000,,,60045000,7191000,17820000,3600000,,,57519000,6972000,15656000,3195000,,,74053000,8058000,20279000,4380000
"Georgia",,6560000,5800000,,,80730000,6210000,40964000,6160000,,,50635000,3895000,24310000,4675000,,,22321000,2494000,13720000,2800000,,,40567000,5135000,18144000,3780000,,,60606000,6300000,13489000,3290000
"West Virginia",,,,,,,,,,,,,,,,,,,,,,,,12164000,1431000,676000,138000,,,13198000,1404000,1297000,276000
"Illinois",,677250000,44240000,,,8878848000,683150000,303597000,48190000,,,6703500000,615000000,190590000,35360000,,,4706770000,532440000,186461000,36850000,,,5827395000,666750000,176299000,36960000,,,5874240000,611900000,163955000,35720000
"Iowa",,586755000,,,,8084180000,631890000,,,,,5616378000,505980000,,,,,4253568000,501600000,,,,,4657061000,550480000,1653000,348000,,,5240865000,566580000,2122000,544000
"Kansas",,132275000,244200000,,,2388960000,192000000,2384200000,364000000,,,2083825000,194750000,1274063000,281250000,,,1542854000,186335000,1421472000,348400000,,,1599243000,201670000,1367582000,277400000,,,1724625000,191625000,1357752000,333600000
"Kentucky",,98940000,30000000,,,1339520000,103040000,194880000,30450000,,,1092960000,101200000,119309000,21420000,,,698105000,77740000,133676000,25080000,,,865200000,98430000,102762000,19800000,,,997354000,102820000,111712000,23870000
"Maryland",,21930000,13260000,,,311031000,25705000,82160000,12640000,,,253518000,21855000,62415000,10950000,,,174515000,20900000,61256000,12375000,,,198640000,24463000,61740000,12600000,,,232254000,25245000,60815000,13135000
"Michigan",,105280000,34445000,,,1462476000,109140000,281232000,45360000,,,1229904000,105120000,179550000,33750000,,,613705000,69660000,181256000,34790000,,,935954000,109725000,181458000,35720000,,,905900000,96475000,152431000,33575000
"Minnesota",,369500000,73810000,,,4667006000,356260000,481632000,55680000,,,4059000000,369000000,374816000,72080000,,,2469425000,297880000,364686000,79800000,,,3148740000,374850000,487796000,92930000,,,3523802000,384275000,438062000,75935000
"Nebraska",,278320000,26240000,,,4421466000,350910000,271656000,41160000,,,3052656000,299280000,158240000,34030000,,,2341568000,283140000,214525000,55290000,,,1920604000,324220000,233098000,49490000,,,2960307000,326025000,189088000,46920000
