"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
"Total","Sample",25910,,6612,,18958,
"Total","Weighted(000)",247612,,68565,,176127,
"Total","Vertical %",100%,,100%,,100%,
"Total","Horizontal %",100%,,27.7%,,71.1%,
"Total","Index",100,,100,,100,
"INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000","Sample",861,,306,,542,
"INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000","Weighted(000)",7280,,2768,,4348,
"INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000","Vertical %",2.9%,,4%,,2.5%,
"INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000","Horizontal %",100%,,38%,,59.7%,
"INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000","Index",100,,137,,84,
"GENDER_MALE","Sample",11513,,2823,,8536,
"GENDER_MALE","Weighted(000)",119717,,31820,,86412,
"GENDER_MALE","Vertical %",48.3%,,46.4%,,49.1%,
"GENDER_MALE","Horizontal %",100%,,26.6%,,72.2%,
"GENDER_MALE","Index",100,,96,,101,
"AGE_18 - 24","Sample",2013,,597,,1396,
"AGE_18 - 24","Weighted(000)",27772,,7918,,19793,
"AGE_18 - 24","Vertical %",11.2%,,11.5%,,11.2%,
"AGE_18 - 24","Horizontal %",100%,,28.5%,,71.3%,
"AGE_18 - 24","Index",100,,103,,100,
"RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC","Sample",14567,,2809,,11573,
"RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC","Weighted(000)",155990,,35547,,118580,
"RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC","Vertical %",63%,,51.8%,,67.3%,
"RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC","Horizontal %",100%,,22.8%,,76%,
"RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC","Index",100,,82,,107,
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",47,*,9,**,38,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",607,*,124,**,483,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.2%,**,0.3%,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,20.4%,**,79.6%,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,74,**,112,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",13,**,10,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",132,**,87,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,65.9%,**,33.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,238,**,47,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",6,**,3,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",44,**,40,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,90.9%,**,9.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,328,**,13,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",4,**,0,**,4,**
