yesMeatAlt,noMeatAlt,income,gender,age,race
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
1,0," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
0,1," LESS THAN $5,000 ", MALE , 18 - 24 ,"WHITE, NON-HISPANIC  "
