STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"76363 - GOREE","30","78","95",82,"112"
"76371 - MUNDAY","123","482","661",73,"100"
"76380 - SEYMOUR","284","1,217","1,564",78,"106"
"76388 - WEINERT","17","66","91",73,"99"
"76424 - BRECKENRIDGE","706","2,452","3,218",76,"104"
"76429 - CADDO","21","72","99",73,"99"
"76430 - ALBANY","220","742","940",79,"108"
"76432 - BLANKET","88","369","492",75,"102"
"76435 - CARBON","43","169","209",81,"110"
"76437 - CISCO","502","1,774","2,244",79,"108"
"76442 - COMANCHE","47","2,495","3,229",77,"105"
"76443 - CROSS PLAINS","162","668","870",77,"105"
"76444 - DE LEON","26","1,181","1,366",87,"118"
"76445 - DESDEMONA","21","143","214",67,"91"
"76448 - EASTLAND","486","1,822","2,355",77,"106"
"76450 - GRAHAM","815","4,091","5,395",76,"104"
"76454 - GORMAN","127","732","879",83,"114"
"76464 - MORAN","40","161","225",72,"98"
"76470 - RANGER","258","977","1,272",77,"105"
"76471 - RISING STAR","158","606","776",78,"107"
"76474 - SIDNEY","4","202","202",100,"137"
"76491 - WOODSON","44","224","293",77,"104"
"76801 - BROWNWOOD","1,935","7,745","10,354",75,"102"
"76802 - EARLY","330","1,422","1,852",77,"105"
"76821 - BALLINGER","393","1,437","1,876",77,"105"
"76823 - BANGS","235","807","1,035",78,"106"
"76827 - BROOKESMITH","36","183","250",73,"100"
"76828 - BURKETT","14","35","51",69,"94"
"76834 - COLEMAN","537","1,865","2,463",76,"103"
"76845 - GOULDBUSK","15","51","69",74,"101"
"76857 - MAY","144","581","729",80,"109"
"76861 - MILES","199","618","781",79,"108"
"76865 - NORTON","19","60","70",86,"117"
"76873 - ROCKWOOD","5","24","35",69,"94"
"76875 - ROWENA","60","171","233",73,"100"
"76878 - SANTA ANNA","156","577","716",81,"110"
"76882 - TALPA","31","107","152",70,"96"
"76884 - VALERA","16","57","57",100,"137"
"76888 - VOSS","17","52","77",68,"92"
"76890 - ZEPHYR","62","265","328",81,"110"
"76933 - BRONTE","179","428","552",78,"106"
"79227 - CROWELL","74","391","545",72,"98"
"79501 - ANSON","301","769","995",77,"106"
"79502 - ASPERMONT","106","317","427",74,"101"
"79503 - AVOCA","14","42","58",72,"99"
"79504 - BAIRD","248","1,026","1,261",81,"111"
"79505 - BENJAMIN","15","55","71",78,"106"
"79506 - BLACKWELL","112","286","352",81,"111"
"79508 - BUFFALO GAP","59","285","338",84,"115"
"79510 - CLYDE","615","2,656","3,354",79,"108"
"79512 - COLORADO CITY","415","1,691","2,322",73,"99"
"79517 - FLUVANNA","26","78","86",91,"124"
"79519 - GOLDSBORO","6","19","29",66,"89"
"79520 - HAMLIN","182","501","667",75,"103"
"79521 - HASKELL","328","1,165","1,526",76,"104"
"79525 - HAWLEY","212","675","889",76,"104"
"79526 - HERMLEIGH","109","390","493",79,"108"
"79527 - IRA","28","96","128",75,"102"
"79528 - JAYTON","45","185","227",82,"111"
"79529 - KNOX CITY","124","461","628",73,"100"
"79530 - LAWN","35","122","168",73,"99"
"79532 - LORAINE","72","227","318",71,"97"
"79533 - LUEDERS","32","96","122",79,"107"
"79534 - MC CAULLEY","21","67","98",68,"93"
"79535 - MARYNEAL","17","55","59",93,"127"
"79536 - MERKEL","345","1,497","1,937",77,"106"
"79537 - NOLAN","7","19","21",91,"124"
"79538 - NOVICE","26","89","106",84,"115"
"79539 - O BRIEN","18","60","87",69,"94"
"79540 - OLD GLORY","22","83","110",76,"103"
"79541 - OVALO","65","233","284",82,"112"
"79543 - ROBY","100","317","399",79,"108"
"79544 - ROCHESTER","40","132","178",74,"101"
"79545 - ROSCOE","176","510","639",80,"109"
"79546 - ROTAN","192","651","847",77,"105"
"79547 - RULE","60","228","293",78,"106"
"79548 - RULE","12","48","61",79,"107"
"79549 - SNYDER","1,094","3,889","5,253",74,"101"
"79553 - STAMFORD","298","841","1,084",78,"106"
"79556 - SWEETWATER","1,050","3,720","4,883",76,"104"
"79560 - SYLVESTER","8","32","45",71,"97"
"79561 - TRENT","58","193","265",73,"99"
"79562 - TUSCOLA","275","1,255","1,592",79,"108"
"79563 - TYE","78","385","453",85,"116"
"79565 - WESTBROOK","23","78","106",74,"100"
"79566 - WINGATE","18","67","79",85,"116"
"79567 - WINTERS","285","987","1,340",74,"101"
"79601 - ABILENE","1,929","7,771","10,592",73,"100"
"79602 - ABILENE","1,640","6,509","8,365",78,"106"
"79603 - ABILENE","1,833","7,374","9,775",75,"103"
"79605 - ABILENE","2,279","9,491","12,527",76,"103"
"79606 - ABILENE","1,755","7,154","9,155",78,"107"
"79607 - DYESS AFB","211","812","1,076",76,"103"
"31015 - CORDELE","1,027","5,683","8,294",69,"94"
"31072 - PITTS","44","262","401",65,"89"
"31079 - ROCHELLE","88","535","682",78,"107"
"31092 - VIENNA","211","1,551","2,282",68,"93"
"31512 - AMBROSE","86","445","606",73,"100"
"31519 - BROXTON","171","908","1,349",67,"92"
"31533 - DOUGLAS","744","4,026","5,641",71,"97"
"31535 - DOUGLAS","477","2,883","4,315",67,"91"
"31552 - MILLWOOD","22","295","356",83,"113"
"31554 - NICHOLLS","263","2,055","2,894",71,"97"
"31567 - WEST GREEN","42","207","314",66,"90"
"31620 - ADEL","564","2,985","4,114",73,"99"
"31622 - ALAPAHA","117","598","869",69,"94"
"31624 - AXSON","52","292","502",58,"79"
"31632 - HAHIRA","346","3,226","4,157",78,"106"
"31635 - LAKELAND","178","1,678","2,535",66,"90"
"31637 - LENOX","176","1,022","1,256",81,"111"
"31639 - NASHVILLE","505","2,949","4,199",70,"96"
"31642 - PEARSON","193","1,153","1,744",66,"90"
"31645 - RAY CITY","193","1,370","1,984",69,"94"
"31647 - SPARKS","148","806","1,261",64,"87"
"31650 - WILLACOOCHEE","136","714","1,116",64,"87"
"31701 - ALBANY","861","4,775","7,697",62,"85"
"31705 - ALBANY","1,492","8,035","12,784",63,"86"
"31707 - ALBANY","1,110","5,963","9,004",66,"90"
"31712 - ARABI","83","408","597",68,"93"
"31714 - ASHBURN","314","1,449","2,240",65,"88"
"31716 - BACONTON","133","670","921",73,"99"
"31721 - ALBANY","826","4,747","6,563",72,"99"
"31730 - CAMILLA","496","2,550","3,791",67,"92"
"31733 - CHULA","79","433","522",83,"113"
"31738 - COOLIDGE","87","776","978",79,"108"
"31743 - DE SOTO","29","161","221",73,"99"
"31744 - DOERUN","162","882","1,254",70,"96"
"31749 - ENIGMA","109","714","977",73,"100"
"31750 - FITZGERALD","893","4,793","6,975",69,"94"
"31756 - HARTSFIELD","54","292","411",71,"97"
"31763 - LEESBURG","955","6,625","8,893",75,"102"
"31764 - LESLIE","61","348","501",70,"95"
"31765 - MEIGS","121","743","1,005",74,"101"
"31768 - MOULTRIE","1,052","6,026","8,668",70,"95"
"31771 - NORMAN PARK","253","1,659","2,229",74,"102"
"31772 - OAKFIELD","21","126","181",70,"95"
"31773 - OCHLOCKNEE","109","1,212","1,714",71,"97"
"31774 - OCILLA","317","1,676","2,445",69,"94"
"31775 - OMEGA","121","736","1,009",73,"100"
"31778 - PAVO","90","739","1,027",72,"98"
"31779 - PELHAM","376","1,927","2,629",73,"100"
"31781 - POULAN","60","361","567",64,"87"
"31783 - REBECCA","59","270","387",70,"95"
"31784 - SALE CITY","40","192","260",74,"101"
"31787 - SMITHVILLE","81","541","699",77,"106"
"31788 - MOULTRIE","465","2,752","3,748",73,"100"
"31789 - SUMNER","82","420","550",76,"104"
"31790 - SYCAMORE","111","492","716",69,"94"
"31791 - SYLVESTER","571","3,301","4,640",71,"97"
