STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"76363 - GOREE","4","15","95",16,"61"
"76371 - MUNDAY","39","173","661",26,"102"
"76380 - SEYMOUR","76","338","1,564",22,"84"
"76388 - WEINERT","6","22","91",24,"94"
"76424 - BRECKENRIDGE","193","722","3,218",22,"87"
"76429 - CADDO","6","23","99",23,"90"
"76430 - ALBANY","60","195","940",21,"81"
"76432 - BLANKET","25","116","492",24,"92"
"76435 - CARBON","9","36","209",17,"67"
"76437 - CISCO","119","428","2,244",19,"74"
"76442 - COMANCHE","12","734","3,229",23,"88"
"76443 - CROSS PLAINS","42","183","870",21,"82"
"76444 - DE LEON","4","185","1,366",14,"53"
"76445 - DESDEMONA","8","67","214",31,"122"
"76448 - EASTLAND","132","496","2,355",21,"82"
"76450 - GRAHAM","242","1,232","5,395",23,"89"
"76454 - GORMAN","36","143","879",16,"63"
"76464 - MORAN","16","64","225",28,"111"
"76470 - RANGER","74","271","1,272",21,"83"
"76471 - RISING STAR","38","150","776",19,"75"
"76474 - SIDNEY","0","0","202",0,"0"
"76491 - WOODSON","12","69","293",24,"92"
"76801 - BROWNWOOD","578","2,502","10,354",24,"94"
"76802 - EARLY","94","430","1,852",23,"90"
"76821 - BALLINGER","109","420","1,876",22,"87"
"76823 - BANGS","62","214","1,035",21,"80"
"76827 - BROOKESMITH","12","67","250",27,"104"
"76828 - BURKETT","6","16","51",31,"122"
"76834 - COLEMAN","150","579","2,463",24,"91"
"76845 - GOULDBUSK","3","13","69",19,"73"
"76857 - MAY","35","141","729",19,"75"
"76861 - MILES","51","158","781",20,"79"
"76865 - NORTON","3","10","70",14,"56"
"76873 - ROCKWOOD","3","11","35",31,"122"
"76875 - ROWENA","17","57","233",25,"95"
"76878 - SANTA ANNA","34","133","716",19,"72"
"76882 - TALPA","10","45","152",30,"115"
"76884 - VALERA","0","0","57",0,"0"
"76888 - VOSS","7","25","77",33,"126"
"76890 - ZEPHYR","15","63","328",19,"75"
"76933 - BRONTE","46","117","552",21,"82"
"79227 - CROWELL","29","154","545",28,"110"
"79501 - ANSON","80","208","995",21,"81"
"79502 - ASPERMONT","34","105","427",25,"96"
"79503 - AVOCA","6","16","58",28,"107"
"79504 - BAIRD","50","213","1,261",17,"66"
"79505 - BENJAMIN","3","16","71",23,"88"
"79506 - BLACKWELL","25","63","352",18,"70"
"79508 - BUFFALO GAP","10","46","338",14,"53"
"79510 - CLYDE","147","654","3,354",20,"76"
"79512 - COLORADO CITY","140","621","2,322",27,"104"
"79517 - FLUVANNA","2","8","86",9,"36"
"79519 - GOLDSBORO","2","5","29",17,"67"
"79520 - HAMLIN","52","157","667",24,"92"
"79521 - HASKELL","95","350","1,526",23,"89"
"79525 - HAWLEY","54","187","889",21,"82"
"79526 - HERMLEIGH","27","103","493",21,"81"
"79527 - IRA","8","32","128",25,"97"
"79528 - JAYTON","8","42","227",19,"72"
