"Title:","Crops - Vegetables from the Agricultural Surveys Database"
"SubTitle:","Domain Category: TOTAL"
"Time:","2017 - 2022"
"Unit of Measure:","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT","$","CWT"
"Citation:","National Agricultural Statistics Service, United States Department of Agriculture  (2023-02-15). Agricultural Surveys: Crops - Vegetables | POTATOES | PEAS | PUMPKINS | POTATOES - PRODUCTION, MEASURED IN CWT | PEAS, GREEN - PRODUCTION, MEASURED IN $ | PEAS, GREEN - PRODUCTION, MEASURED IN CWT | POTATOES - PRODUCTION, MEASURED IN $ | POTATOES - SALES, MEASURED IN $ | POTATOES - SALES, MEASURED IN CWT | PUMPKINS - PRODUCTION, MEASURED IN $ | PUMPKINS - PRODUCTION, MEASURED IN CWT | TOTAL, 2017 - 2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-009-010 doi:https://doi.org/10.6068/DP186B7CFBD4136"
"ColumnCount:",44
"RowCount:",27

"State","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2022 (CWT)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN CWT, TOTAL, 2021 (CWT)","POTATOES, POTATOES - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2021 (CWT)","POTATOES, POTATOES - SALES, MEASURED IN $, TOTAL, 2021 ($)","POTATOES, POTATOES - SALES, MEASURED IN CWT, TOTAL, 2021 (CWT)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN $, TOTAL, 2021 ($)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN CWT, TOTAL, 2021 (CWT)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN CWT, TOTAL, 2020 (CWT)","POTATOES, POTATOES - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2020 (CWT)","POTATOES, POTATOES - SALES, MEASURED IN $, TOTAL, 2020 ($)","POTATOES, POTATOES - SALES, MEASURED IN CWT, TOTAL, 2020 (CWT)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN $, TOTAL, 2020 ($)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN CWT, TOTAL, 2020 (CWT)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN CWT, TOTAL, 2019 (CWT)","POTATOES, POTATOES - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2019 (CWT)","POTATOES, POTATOES - SALES, MEASURED IN $, TOTAL, 2019 ($)","POTATOES, POTATOES - SALES, MEASURED IN CWT, TOTAL, 2019 (CWT)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN $, TOTAL, 2019 ($)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN CWT, TOTAL, 2019 (CWT)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN CWT, TOTAL, 2018 (CWT)","POTATOES, POTATOES - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2018 (CWT)","POTATOES, POTATOES - SALES, MEASURED IN $, TOTAL, 2018 ($)","POTATOES, POTATOES - SALES, MEASURED IN CWT, TOTAL, 2018 (CWT)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN $, TOTAL, 2018 ($)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN CWT, TOTAL, 2018 (CWT)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","PEAS, PEAS, GREEN - PRODUCTION, MEASURED IN CWT, TOTAL, 2017 (CWT)","POTATOES, POTATOES - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","POTATOES, POTATOES - PRODUCTION, MEASURED IN CWT, TOTAL, 2017 (CWT)","POTATOES, POTATOES - SALES, MEASURED IN $, TOTAL, 2017 ($)","POTATOES, POTATOES - SALES, MEASURED IN CWT, TOTAL, 2017 (CWT)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN $, TOTAL, 2017 ($)","PUMPKINS, PUMPKINS - PRODUCTION, MEASURED IN CWT, TOTAL, 2017 (CWT)"
"California",7728000,,,275120000,11049000,268289000,10795000,26584000,1567500,,,227640000,12861000,222038000,12540000,19614000,972000,,,277893000,16842000,270140000,16387000,22754000,1198500,,,221508000,15457000,212777000,14896000,27592000,1347500,,,375676000,17894000,363601000,17363000,20742000,1452000
"Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,50117000,3885000,45035000,3493000,,,,,48307000,3774000,42330000,3310000,,
"Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,18981000,1665000,16632000,1455000,,,,,28107000,2423000,28002000,2423000,,
"Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,5967000,510000,5929000,508000,,,,,,913000,,,,
"Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,13395000,1419000,13402000,1419000,,,,,14832000,1558000,14833000,1558000,,
